Category,Resume
Data Science,qwtnrvduof education detail may 2013 may 2017 bbntgbqlmkke uit rgpv data scientist data scientist matelabs skill detail python exprience le 1 year month statsmodels exprience 12 month aws exprience less 1 year month machine learn exprience le 1 year month sklearn exprience le 1 year month scipy exprience le 1 year month keras exprience less 1 year monthscompany detail company matelabs description ml platform business professional dummy enthusiastsckekjofvwq 60 koramangala 5th block achievement task behind sukh sagar bengaluru india develop deployed auto preprocessing step machine learn mainly miss value treatment outlier detection encode scaling feature selection dimensionality reductionqunsobcudt deploy automated classification regression modelrynoolxhuv b4600b146 reasearch deploy time series forecast model arima sarimax holt winter prophetiqmadshiyn work meta feature extract problemiszogerzlf implement state art research paper outlier detection mixed attribute company matelabs description
Data Science,qwtnrvduof area interest deep learn control system design program python electric machinery web development analytics technical activity q hindustan aeronautics limit bangalore 4 week guidance mrbntgbqlmkk satish senior engineer hangar mirage 2000 fighter aircraft technical skill program matlab python java labview python webframework django flask ltspice intermediate language mipower intermediate github gitbash jupyter notebook xampp mysql basic python software package interpreter anaconda python2 python3 pycharm java ide eclipse operate system windows ubuntu debian kali linux education detail january 2019 bckekjofvwqtechqunsobcudt electrical electronics engineering manipal institute technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy higher data science data science electrical enthusiast skill detail data analysis exprience le 1 year month excel exprience le 1 year month machine learn exprience le 1 year month mathematics exprience less 1 year month python exprience le 1 year month matlab exprience le 1 year month electrical engineering exprience less 1 year month sql exprience le 1 year monthscompany detail company themathcompany description currently work casino base operator name disclose macaurynoolxhuvi need segment customer visit property base value patron bring companysajhwmuxoobasically prove segmentation do much well way current system proper number back upiqmadshiynhenceforth implement target marketing strategy attract customer add value businessiszogerzlf
Data Science,skill r python sap hana tableau sap hana sql sap hana pal m sql sap lumira c linear program data model advance analytics scm analytics retail analytics social medium analytics nlp education detail january 2017 january 2018 pgdm business analytics great lake institute management illinois institute technology january 2013 bachelor engineering electronics communication bengaluru karnataka new horizon college engineering bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill detail linear program exprience 6 month retail exprience 6 month retail marketing exprience 6 month scm exprience 6 month sql exprience less 1 year month deep learn exprience le 1 year month machine learn exprience le 1 year month python exprience le 1 year month r exprience le 1 year monthscompany detail company deloitte usi description project involve analyse historic deal come insight optimize future dealsbntgbqlmkk role give raw data carry end end analysis present insight clientckekjofvwq key responsibility extract data client system across geographiesqunsobcudt understand build report tableaurynoolxhuv infer meaningful insight optimize price find process blockadessajhwmuxoo technical environment r tableauiqmadshiyn industry cross industry service area cross industry product project name handwrite recognition consultant 3 monthsiszogerzlf project involve take handwritten image convert digital text image object detection sentence creationbrbegnceae role develop sentence correction functionality key responsibility gather data large enough capture english word train lstm model word technical environment python industry finance service area financial service bi development project name swift consultant 8 month project develop analytics infrastructure top sap 4 would user view financial report respective department report also include forecasting expense role lead offshore team key responsibility design develop data model report develop etl data flow validate various report technical environment sap hana tableau sap ao industry healthcare analytics service area life science product development project name clinical healthcare system consultant 2 month project develop analytics infrastructure top argus would allow user query faster provide advance analytics capability role involve design deploy phase perform lot data restructure build model insight key responsibility design develop data model report develop deploy analytical model validate various report technical environment data model sap hana tableau nlp industry fmcg service area trade promotion project name consumption base plan flower food consultant 8 month project involve set crm cbp module role involve key data decomposition activity set base future year forecast course project develop various model carry key performance improvement key responsibility design develop hana model decomposition develop data flow forecast develop various view report customer sale fund validate various report bobj technical environment data model sap hana bobj time series forecast internal initiative industry fmcg customer segmentation rfm analysis consultant 3 month initiative involved set hana python interface advance analytics python course successfully segment data five core segment use k mean carry rfm analysis python also develop algorithm categorize new customer define bucket technical environment anaconda3 python3 6 hana sps12 industry telecom invoice state detection consultant 1 month initiative reduce manual effort verify close open invoice manually involve development decision tree classify open close invoice enable effort reduction 60 technical environment r sap pal sap hana sps12 accenture experience industry analytics cross industry process analytics sap senior developer 19 month accenture solution pvt ltd india project involve development sap analytics tool process analytics ipa role develop database object data model provide operational insight client role develop various finance relate kpis spearhead various deployment introduce sap predictive analytics reduce development time reuse functionality kpis prepared production planning report key responsibility involve information gather phase design implement sap hana data model use attribute view analytic view calculation view develop various kpi individually use complex sql script calculation view create procedure hana database take ownership developed dashboard functionality involve building data processing algorithm execute r server cluster analysis technical environment r sap hana sql industry cross industry accenture test accelerator sap database developer 21 month accenture solution pvt ltd india role take care development activity atas tool also complete various deployment product apart activity also actively involved maintenance database server production quality key responsibility analyze business requirement understand scope get requirement clarify interact business transform requirement generate attribute mapping document review map specification documentation create update database object like table view store procedure function package monitor sql server error log application log sql server agent prepared data flow diagram entity relationship diagram use uml responsible design develop normalization database table experience performance tune use sql profiler involve qa uat knowledge transfer support activity technical environment sql server 2008 2014 visual studio 2010 windows server performance monitor sql server profiler c pl sql sql
Data Science,education detail mca ymcaust faridabad haryana data science internship skill detail data structure exprience less 1 year month c exprience le 1 year month data analysis exprience le 1 year month python exprience le 1 year month core java exprience less 1 year month database management exprience less 1 year monthscompany detail company itechpower description
Data Science,skill c basic iot python matlab data science machine learn html microsoft word microsoft excel microsoft powerpointbntgbqlmkk recognition academic secure first place bckekjofvwqtechqunsobcudteducation detail august 2014 may 2018 brynoolxhuvtechsajhwmuxoo ghatkesar andhra pradesh aurora scientific technological institute june 2012 may 2014 secondary education warangal telangana sr junior college data science skill detail m office exprience less 1 year month c exprience le 1 year month machine learn exprience le 1 year month data science exprience less 1 year month matlab exprience le 1 year monthscompany detail company description
Data Science,skill python tableau data visualization r studio machine learn statistic iabac certify data scientist versatile experience 1 year manage business data science consult lead innovation project bring business idea work real world solutionsbntgbqlmkk strong advocator augment era human capability enhance machine fahed passionate bring business concept area machine learn ai robotics etcckekjofvwq real life solutionsqunsobcudteducation detail january 2017 brynoolxhuv tech computer science engineering mohali punjab indo global college engineering data science consultant data science consultant datamites skill detail machine learn exprience 13 month python exprience 24 month solution exprience 24 month data science exprience 24 month data visualization exprience 24 month tableau exprience 24 monthscompany detail company datamites description analyze process complex data set use advanced query visualization analytics toolssajhwmuxoo responsible load extract validation client dataiqmadshiyn work manipulate clean processing data use pythoniszogerzlf use tableau data visualizationbrbegnceae company heretic solution pvt ltd description work closely business identify issue use data propose solution effective decision make manipulate cleanse processing data use python excel r analyze raw data draw conclusion develop recommendation use machine learning tool statistical technique produce solution problem
Data Science,education detail bbntgbqlmkktech rayat bahra institute engineering biotechnology data science data science skill detail numpy exprience less 1 year month machine learn exprience le 1 year month tensorflow exprience le 1 year month scikit exprience le 1 year month python exprience le 1 year month gcp exprience le 1 year month pandas exprience le 1 year month neural network exprience less 1 year monthscompany detail company wipro description bhawana aggarwal e mail bhawanackekjofvwqchd gmailqunsobcudtcom phone 09876971076 vversatile high energy professional target challenge assignment machine profile summary professional knowledge experience 2 year wipro technology machine learn deep learning data science python software developmentrynoolxhuv skilled manage end end development software product project inception requirement spec plan design implementation configuration documentationsajhwmuxoo knowledge python machine learn deep learning data science algorithm neural network nlp gcpiqmadshiyn knowledge python library like numpy panda seaborn matplotlib cufflinksiszogerzlf knowledge different algorithm machine learn like knn decision tree bias variance trade support vector machine svm logistic regression neural networksbrbegnceae knowledge unsupervised supervised reinforcement data program experience relational platform like mysql oracle knowledge program language like c java experience cloud base environment like google cloud work different operate system like linux ubuntu window good interpersonal communication skill problem solve skill ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability technical skill program language python c library seaborn numpy panda cufflink matplotlib algorithm knn decision tree linear regression logistic regression neural network k mean cluster tensorflow svm database sql oracle operate system linux window development environment netbeans notebooks sublime ticketing tool service remedy education ug education b tech computer science rayat bahra institute engineering biotechnology pass 78 4 2016 school xii 2012 moti ram arya sr secondary school pass 78 4 x 2010 valley public school pass 9 4 cgpa work experince title wipro neural intelligence platform team size 5 brief wipro neural intelligence platform harness power automation artificial intelligence technology natural language processing nlp cognitive machine learn analytics platform comprise three layer data engagement platform easily access manage multiple structure unstructured data source intent assessment reason engine include sentiment predictive analytics deep machine learn engine sense act learn time project entail automating response user query earliest monster bot use power deep machine learn nlp handle query user see query answer quickly like alll1 activity eliminate entity extractor involve text extraction nlp fetch important information text like date name place contact number etc involve regex bluemix nlu api machine learn use tensor flow learn new entity classifier involve classification class train dataset predicting output use sklearn classifier mnb svm sgd classifier sgd optimization map user query best suit response make system efficient ner deep learning ner model train extract entity text entity like role skill organization extract raw text rnn lstm bidirectional model train extract entity use kera tensorflow framework project title diabetes detection brief develop software detect whether person suffer diabetes get third prize training certification title python training machine learn data science deep learning organization udemy coursera machine learn deep learn personal profile father name mr tirlok aggarwal language know english hindi marital status single date birth gender 1993 12 20 yyyy mm dd f company wipro description develop program python company wipro description title wipro neural intelligence platform team size 5 brief wipro neural intelligence platform harness power automation artificial intelligence technology natural language processing nlp cognitive machine learn analytics platform comprise three layer data engagement platform easily access manage multiple structure unstructured data source intent assessment reason engine include sentiment predictive analytics deep machine learn engine sense act learn time project entail automating response user query earliest monster bot use power deep machine learn nlp handle query user see query answer quickly like alll1 activity eliminate entity extractor involve text extraction nlp fetch important information text like date name place contact number etc involve regex bluemix nlu api machine learn use tensor flow learn new entity classifier involve classification class train dataset predicting output use sklearn classifier mnb svm sgd classifier sgd optimization map user query best suit response make system efficient ner deep learning ner model train extract entity text entity like role skill organization extract raw text rnn lstm bidirectional model train extract entity use kera tensorflow framework company wipro technology description professional knowledge experience 2 year wipro technology machine learn deep learning data science python software development skilled manage end end development software product project inception requirement spec plan design implementation configuration documentation knowledge python machine learn deep learning data science algorithm neural network nlp gcp knowledge python library like numpy panda seaborn matplotlib cufflink knowledge different algorithm machine learn like knn decision tree bias variance trade support vector machine svm logistic regression neural network knowledge unsupervised supervised reinforcement data program experience relational platform like mysql oracle knowledge program language like c java experience cloud base environment like google cloud work different operate system like linux ubuntu window good interpersonal communication skill problem solve skill ability think laterally think medium term long term perspective flexibility open attitude change ability create define framework strong emphasis code reusability
Data Science,personal skill ability quickly grasp technical aspect willingness learn high energy level result orientedbntgbqlmkk education detail january 2018 master engineering computer technology application bhopal madhya pradesh truba institute engineering information technology january 2010 bckekjofvwqequnsobcudt computer science bhopal madhya pradesh rkdf institute science technology college engineering january 2006 polytechnic information technology vidisha madhya pradesh sati engineering college vidisha january 2003 mrynoolxhuvtech thesis detail bmch school ganj basoda data science six month experience data sciencesajhwmuxoo key skill experience machine learn deep leaning nlp python sql web scrap good knowledge computer subject ability update skill detail experience machine learn deep learning nlp python sql web crawl html cssiqmadshiyn exprience less 1 year monthscompany detail company rntiszogerzlfai technology solution description text classification use machine learn algorithm pythonbrbegnceae practical knowledge deep learning algorithm recurrent neural network rnn develop custom data model algorithms apply dataset experience python package like panda scikit learn tensor flow numpy matplotliv nltk comfort sql mysql sentiment analysis apply leave dataset use classification technique like tf idf lsa cosine similarity use machine learn algorithm web crawl use selenium web driver beautiful soup python company life insurance corporation india bhopal description explain policy feature benefit update knowledge life insurance product share customer
Data Science,expertise data quantitative analysis decision analytics predictive model data drive personalization kpi dashboard big data query interpretation data mining visualization tool machine learn algorithm business intelligence bi research report forecast education detail pgp data science mumbai maharashtra aegis school data science business bbntgbqlmkkeckekjofvwq electronics communication electronics communication indore madhya pradesh y ips academy data scientist data scientist pr canada skill detail algorithms exprience 6 month bi exprience 6 month business intelligence exprience 6 month machine learn exprience 24 month visualization exprience 24 month spark exprience 24 month python exprience 36 month tableau exprience 36 month data analysis exprience 24 monthscompany detail company aegis school data science business description mostly work industry project provide solution along teach appointment teach undergraduate graduate level course spark machine learning adjunct faculty member aegis school data science mumbai 2017 present company aegis school data business description data science intern nov 2015 jan 2016 furnish executive leadership team insight analytics report recommendation enable effective strategic planning across business unit distribution channel product linesqunsobcudt chat bot use aws lex tensor flow python goal project create chat bot academic institution university handle query relate course offer instituterynoolxhuv objective task reduce human effort well reduce man make errorssajhwmuxoo even company handle client 24x7iqmadshiyn case company academic institution client participant studentsiszogerzlf web scrap use selenium web driver python task scrap data online message portal text format find pattern form itbrbegnceae data visualization data insight hadoop eco system hive pyspark qliksense goal project build business solution internet service provider company like handle data generate per day basis visualize data find usage pattern form generate report image base fraud detection microsoft face api pyspark open cv main goal project recognize similarity face give database image face recognition recognize special face set different face face extract compare database image image recognize person already apply loan somewhere else hide identity go prevent fraud initial stage churn analysis internet service provider r python machine learn hadoop objective identify customer likely churn give period time pretend customer give incentive offer sentiment analysis python nlp apache spark service ibm bluemix project highly emphasis tweet twitter data take mobile network service provider sentiment analysis analyze whether expressed opinion positive negative neutral capture emotion tweet comparative analysis quantifiable result mentor 7 12 data science enthusiast year since go graduate school data science business analytics review evaluate 20 40 research paper data science one largest data science conference call data science congress aegis school business mumbai head solution provide organization call data science deliver aegis school data science mumbai manage 4 5 live project use data science technique work social cause help data science social good committee team develop product call let find miss child help society company ibm india pvt ltd description mostly work blumix ibm watson data science
Data Science,skill program language python panda numpy scipy scikit learn matplotlib sql java javascript jquerybntgbqlmkk machine learn regression svm na bay knn random forest decision tree boost technique cluster analysis word embed sentiment analysis natural language processing dimensionality reduction topic model lda nmf pca neural netsckekjofvwq database visualization mysql sqlserver cassandra hbase elasticsearch d3qunsobcudtjs dcrynoolxhuvjs plotly kibana matplotlib ggplot tableausajhwmuxoo others regular expression html cs angular 6 logstash kafka python flask git docker computer vision open cv understand deep learningiqmadshiyneducation detail data science assurance associate data science assurance associate ernst young llp skill detail javascript exprience 24 month jquery exprience 24 month python exprience 24 monthscompany detail company ernst young llp description fraud investigation dispute service assurance technology assist review tar technology assist review assist accelerate review process run analytics generate reportsiszogerzlf core member team help develop automate review platform tool scratch assist e discovery domain tool implement predictive cod topic model automate review result reduced labor cost time spend lawyer reviewbrbegnceae understand end end flow solution research development classification model predictive analysis mining information present text data work analyze output precision monitoring entire tool tar assist predictive cod topic model evidence follow ey standard develop classifier model order identify red flag fraud relate issue tool technology python scikit learn tfidf word2vec doc2vec cosine similarity na bay lda nmf topic model vader text blob sentiment analysis matplot lib tableau dashboard report multiple data science analytic project usa client text analytics motor vehicle customer review data receive customer feedback survey data past one year perform sentiment positive negative neutral time series analysis customer comment across 4 category create heat map term survey category base frequency word extract positive negative word across survey category plot word cloud create customized tableau dashboard effective reporting visualization chatbot develop user friendly chatbot one product handle simple question hour operation reservation option chat bot serf entire product relate question give overview tool via qa platform also give recommendation response user question build chain relevant answer intelligence build pipeline question per user requirement ask relevant recommended question tool technology python natural language processing nltk spacy topic model sentiment analysis word embed scikit learn javascript jquery sqlserver information governance organization make informed decision information store integrate information governance portfolio synthesize intelligence across unstructured data source facilitate action ensure organization best position counter information risk scan data multiple source format parse different file format extract meta data information push result index elastic search create customized interactive dashboard use kibana preform rot analysis data give information data help identify content either redundant outdated trivial preforming full text search analysis elastic search predefined method tag pii personally identifiable information social security number address name etc frequently target cyber attack tool technology python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag case fap fraud analytics investigative platform inbuilt case manager suite analytics various erp system use client interrogate accounting system identify anomaly indicator fraud run advanced analytics tool technology html javascript sqlserver jquery cs bootstrap node j d3 j dc j
